year,xx_bread,xx_cereals,xx_biscuits,xx_beef,xx_lamb,xx_pork,xx_bacon,xx_poul_oth,xx_fish,xx_butter,xx_oil_fats,xx_cheese,xx_eggs,xx_milkfres,xx_milkprod,xx_tea,xx_coffee,xx_softdrin,xx_sug_pres,xx_swe_choc,xx_potatoes,xx_oth_vegs,xx_fruit,xx_oth_food,xx_canteen,xx_oth_snac,xx_beer,xx_winespir,xx_cigs,xx_othtob,xx_rent,xx_mortgage,xx_ratesetc,xx_repair,xx_diy,xx_coal,xx_electric,xx_gas,xx_oil_oth,xx_furnit,xx_furnish,xx_elec_app,xx_othhheq,xx_consuma,xx_petcare,xx_postage,xx_telephon,xx_domservs,xx_fees_sub,xx_menouter,xx_womouter,xx_kidouter,xx_othcloth,xx_footwear,xx_chemgood,xx_p_servs,xx_motorveh,xx_maintmot,xx_pet_oil,xx_tax_ins,xx_railfare,xx_busfares,xx_othtrav,xx_aud_vis,xx_rec_toys,xx_book_new,xx_garden,xx_tvlicen,xx_entertai
75,.48797,.24165,.49153,.84705,.25006,.25421,.31743,.91798,.24688,.27083,.20458,.23507,.2371,.67881999,.10754,.14577,.13731,.28312,.28604,.37066999,.47701999,.75180001,.64686,.68388001,.6133375,1.0083325,1.2745829,.85929707,1.2289,.13409,.96203378,2.55901,1.8070662,.125,.50590001,.34571,.99532,.57825,.13055,.02128,.26229,.73064538,.52014461,.60164001,.23609001,.1462,.45486,.32195,.54417001,.28333,.6599,.47532999,.71319001,.63419999,.68799001,.32751,1.51073,.71659999,1.99368,.63065,.21178,.43824998,.48621999,.29995,1.38581,.61799,.13548,.55839,.99845
76,.50637999,.22227472,.56900989,.62702368,.22791533,.20539622,.306331,1.0061512,.2057181,.23472425,.19297501,.21871729,.2799227,.51756,.08814325,.12825633,.14129225,.23238007,.31026176,.34619905,.2676509,.58254762,.44289518,.6529291,.55358995,1.0986353,1.4254141,.64199516,1.3059475,.09926328,.61091382,2.8419157,1.4543344,.03074627,.6588595,.24933234,1.0024754,.52291873,.09143376,.35315164,.31740987,.36256618,.72011974,.55572976,.21123589,.05145703,.4255418,.19753841,.61788865,.66782937,.87578156,.51074924,.63412905,.44775708,.49900384,.25542245,1.6185953,1.4426171,2.478202,.56530331,.11704801,.36634589,.2782913,.47450031,.86991258,.53345068,.21153516,.58200402,.78326596
77,.40945967,.2207303,.52168129,.49465737,.19920821,.34170587,.33417775,.81949349,.30595462,.13295206,.25162907,.17907771,.18952731,.51658764,.11330212,.11177853,.13358203,.25008572,.30337688,.26297849,.16674965,.47887073,.51484377,.69410296,.42243115,1.0767693,1.2474319,.71073845,1.0132327,.06520341,.95658277,2.5816796,1.652164,.22289471,.44797951,.42233448,.98826981,.50230822,.08326118,.59964167,.48617064,.52835653,.54064492,.53179009,.29829781,.05907297,.34948517,.24298276,.3980681,.21409584,1.0293486,.77442768,.79841165,.73208462,.48450377,.37529023,2.1677008,.93118443,1.6537236,.62070916,.15685259,.31068837,.11505979,.33856245,.78235727,.57351706,.08667329,.57973308,1.0536813
78,.43714864,.18593082,.51445735,.62524307,.22506093,.40717538,.35562497,1.1057796,.19588847,.15962942,.2341244,.18743627,.18750312,.51241948,.13753811,.09008888,.09460307,.18940847,.28059149,.3721153,.30854509,.62206683,.37410067,.7542079,.33705243,1.2269963,1.0690194,.56506339,1.5424272,.13804111,.70316317,3.5066378,1.4803693,.18370956,.12511893,.29145563,.97624942,.67895956,.10671943,2.1465898,.35743198,.35016795,.5776635,.47314518,.47216785,.0875789,.3961121,.34888554,.27535012,.32993647,1.3159391,.62626351,.72016264,.69879214,.57175495,.32803242,1.2878912,1.3067455,2.0328728,.57297807,.12426877,.29649834,.32498839,.25442872,.81693889,.56650318,.233264,.60319586,1.8622861
79,.41475779,.18087198,.57414992,.4390958,.17223809,.20967426,.3479364,.88389806,.21849438,.11304265,.1907249,.20316866,.1709798,.46635166,.08688757,.0836539,.09216962,.2266856,.23961081,.39375321,.32729747,.53882195,.44348666,.78085386,.29562929,.90754827,1.1884604,.57701812,1.2554584,.08981336,1.1047468,2.9723097,1.4653487,.48650865,.84936972,.17512255,.94577385,.67522438,.15918315,.89498527,.68960257,.5730074,.63943139,.51998091,.27403985,.05176232,.49154065,.07512361,.45262042,.61958433,1.2914292,.48406852,.80313653,.58144032,.5291458,.25159168,1.0402343,.84449667,2.2952532,.50072419,.12797822,.27884441,.49404725,.50925669,1.5239599,.60266895,.28818031,.58392725,1.6218857
80,.4332835,.18036225,.55120871,.59344859,.19520742,.28611239,.35074129,1.1202966,.29304827,.11283517,.23887549,.21937158,.18290718,.50779471,.10586631,.11601992,.08890824,.23310954,.26780697,.28389826,.26020345,.56474164,.51580601,.77075656,.27890091,1.2424454,1.4999769,.74143771,1.1788552,.07500394,1.1918148,2.3176948,1.639518,.01965838,.55563732,.2621419,1.0095682,.82441439,.13916925,.77171371,.89314914,.45135742,.5495991,.47961179,.37507445,.09915085,.56862862,.28541211,.37318416,.66405946,1.4321887,.6190242,.89364197,1.0094729,.5177511,.26925637,2.2526601,1.3385765,2.1302511,.72438062,.08431995,.36514942,.25662744,.3788983,1.0577231,.56440266,.22291969,.66688246,1.1345752
81,.48585622,.2149533,.57799393,.50749923,.29792027,.39945788,.39120809,1.0326778,.29911065,.11398262,.29815939,.23289598,.19816502,.45429694,.08750875,.10602568,.10103427,.22107179,.29593741,.24401603,.37328258,.6397006,.56603557,.68657134,.34829201,1.0264254,1.217396,.79015508,1.4148756,.16452272,.7880662,2.2731019,1.5839412,0,.43765945,.23484138,.939392,.70979701,.13407348,.24334156,.2137586,.20529487,.47847667,.56391298,.32283869,.06711937,.60326905,.23643952,.97703285,.34901624,1.2605286,.83489677,.68092665,.79460746,.50248898,.3288578,2.04836,.69608157,2.2540383,.72113341,.09947566,.30361367,.64287553,.70101957,1.1753944,.67338414,.1809684,.78864767,.96306401
82,.438526,.20204228,.44013653,.51683384,.20586915,.34257906,.33388749,.95095713,.28766246,.11308725,.22672402,.21183681,.1788541,.47617594,.10247117,.08623218,.11732527,.26020253,.25061253,.29554191,.27140938,.49794768,.49091614,.70479067,.3448379,1.1264637,1.4673234,1.0099289,1.1405219,.04805596,.61552051,2.0280581,1.5037529,.31370712,.14007272,.13669627,.81193104,.89344366,.10171326,.64747298,1.1458258,.58249592,.98025713,.65276332,.27541571,.05334289,.53061398,.17606738,.29695181,.72538085,2.1364272,.60615025,1.085597,.75225454,.60433537,.25452267,2.2519064,.88548284,2.4040527,.78546612,.13272123,.5140326,.36108999,.55195454,1.2814779,.598023,.15571782,.59648771,1.6249607
83,.36903326,.17372174,.45084001,.42943755,.21164584,.25635317,.28877258,1.0912798,.24766378,.08550325,.21234747,.19606283,.1533453,.38158795,.12376854,.0915803,.1252503,.22175137,.20425527,.22026961,.32266247,.60701978,.63185469,.7374183,.25825902,1.1331919,1.0940946,.83081561,.71103527,.08984653,.45540225,3.3368,1.3464975,.00444813,.65051613,.0906482,.8087018,.7568941,.11429421,1.4015988,.32023156,.39963769,.57947714,.45279362,.40423037,.06187709,.57998148,.27639686,.5258029,1.0331946,1.713589,.44468039,.71338111,.82223988,.56625881,.52338577,1.4595748,.55726934,2.0746842,.64645625,.13392136,.20373978,.32494263,.44415972,1.5623272,.48646881,.17045319,.61047626,1.1684542
84,.39441373,.18316766,.48058665,.43644298,.21944688,.23849183,.36382721,1.0872258,.23417303,.09020761,.22265109,.19262218,.17385176,.3750755,.11122845,.10560517,.10392691,.19989031,.22198628,.20059667,.24548534,.55086639,.51355617,.85021941,.34645953,1.1424631,1.4092896,.46261232,.68541266,.08610793,.29361893,2.5341652,1.3336284,.35913241,.50980961,.21706166,.89798137,.77433105,.04802831,.97971266,.45150155,.86520345,.40278307,.55236142,.5493101,.07336507,.51815366,.28356542,.433131,.87819179,2.4749625,.734906,.49925371,.93747939,.47588429,.24934511,2.5706121,.96076885,2.2627707,.62704959,.09232948,.19284108,.51900985,2.0053278,1.4656344,.43278106,.13432912,.72910512,1.0214291
