year,p_bread,p_cereals,p_biscuits,p_beef,p_lamb,p_pork,p_bacon,p_poul_oth,p_fish,p_butter,p_oil_fats,p_cheese,p_eggs,p_milkfres,p_milkprod,p_tea,p_coffee,p_softdrin,p_sug_pres,p_swe_choc,p_potatoes,p_oth_vegs,p_fruit,p_oth_food,p_canteen,p_oth_snac,p_beer,p_winespir,p_cigs,p_othtob,p_rent,p_mortgage,p_ratesetc,p_repair,p_diy,p_coal,p_electric,p_gas,p_oil_oth,p_furnit,p_furnish,p_elec_app,p_othhheq,p_consuma,p_petcare,p_postage,p_telephon,p_domservs,p_fees_sub,p_menouter,p_womouter,p_kidouter,p_othcloth,p_footwear,p_chemgood,p_p_servs,p_motorveh,p_maintmot,p_pet_oil,p_tax_ins,p_railfare,p_busfares,p_othtrav,p_aud_vis,p_rec_toys,p_book_new,p_garden,p_tvlicen,p_entertai
75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
76,119.39058,113.57567,112.14392,128.23758,117.68844,126.77448,122.45251,118.42355,119.13876,133.44595,96.385536,119.63846,113.46704,169.82379,125.34142,115.76037,110.18297,129.98533,85.998353,115.26317,236.25177,126,112.60904,121.6518,125.64331,122.06611,125.91667,126.21529,131.01216,132.91925,114.14728,109.30233,141.78572,131.98347,118.00847,126.77858,141.09174,135.23899,124.02422,116.22769,113.14708,124.72849,120.72668,123.094,110.61094,185.22251,169.93865,125.19084,121.03961,114.03212,108.60585,112.25861,108.89424,112.7866,121.51009,124.77368,119.13478,119.60624,104.99709,145.30076,158.30257,141.86046,121.13566,123.54049,119.36027,124.10519,117.54547,115.31707,126.66068
77,147.09141,132.8635,129.46027,163.19377,158.49246,134.77088,130.31089,140.26591,148.03829,212.75338,111.44579,147.16516,152.72205,209.80177,143.85433,191.24424,179.39538,139.95601,90.969356,135.19737,307.81473,181.36001,134.33784,145.90775,144.45431,145.28925,152.5,139.75695,155.78949,156.83229,131.39535,136.33721,154.00255,157.02481,126.83616,153.71702,167.32374,150.32802,159.35397,130.50127,131.88168,136.59148,140.29726,143.67135,110.61094,190.76406,169.23751,146.18321,135.31353,128.90956,122.11704,129.63896,123.23718,126.01412,139.94731,147.81893,141.43096,142.90402,112.55085,149.06015,198.52398,167.528,138.32808,127.58946,139.899,139.44485,137.18182,120.87804,142.45959
78,174.23822,156.67655,150.44979,169.52287,168.64322,144.56424,135.31952,146.62868,178.4689,208.95271,129.38421,175.18488,170.34383,249.77973,164.33991,304.05529,289.57835,148.24047,97.265959,161.57895,150.94066,139.44,166.6931,156.25002,169.92015,167.27271,167.75,149.13194,179.91905,177.25154,148.1589,120.25194,173.16836,180.57851,141.31355,176.65868,185.59516,164.94846,164.60296,145.62447,149.7124,154.63659,159.20726,166.02515,150.32154,207.89254,168.01052,164.50381,164.52145,141.92732,126.41998,146.17968,139.50321,145.06173,156.10184,170.69959,163.8935,168.90895,108.94828,177.63158,227.49078,192.85099,157.72871,132.95669,149.57912,163.62309,168.72728,135.12195,165.26032
79,197.59926,172.55192,162.29385,206.42648,199.799,163.16261,149.13645,162.39316,194.64116,267.48311,128.17938,194.82335,182.09169,268.06166,185.20486,247.92627,256.96101,159.0176,108.98924,180.39472,197.82921,179.28,161.93497,168.67561,180.12423,186.36364,177.83334,155.29515,186.96358,184.62733,162.01551,166.86047,190.32185,205.28926,151.9774,198.16147,199.84838,165.22962,164.60296,156.92437,162.20212,163.99332,171.92402,178.4604,161.17364,207.89254,168.01052,184.96182,187.54125,157.31192,132.35801,153.48447,154.64743,155.46737,165.58385,197.28395,190.34943,185.72601,111.96978,186.2782,250.73799,215.24548,167.11357,137.09982,165.06734,178.01315,193.09092,142.53659,187.0736
80,229.27054,198.6647,194.003,233.78773,201.70852,179.33512,165.80312,184.61539,207.46412,288.59797,133.73494,227.8554,205.30085,297.68723,222.83764,257.05069,273.34924,191.12903,121.74814,218.28947,234.37045,187.36001,175.25775,191.59227,213.75334,231.40494,223.33333,177.77779,218.54252,207.37578,180.23256,252.71317,221.4164,242.64463,180.43785,241.16708,238.21076,178.44424,252.15341,184.28207,192.44043,188.13701,209.49628,222.87192,183.5209,238.70699,203.59334,222.74808,230.69307,181.06511,137.26334,165.65911,181.16987,183.15697,209.56981,242.79834,212.396,230.68087,167.86753,204.51127,301.66051,257.27822,198.18613,140.8663,193.51852,204.96714,215.09092,169.17074,239.31776
81,254.38596,222.92284,210.7946,250.63289,212.16079,183.28841,173.57514,193.82715,218.5646,309.45947,135.80991,253.90305,220.91689,367.07049,254.24886,286.5438,263.56405,219.64811,135.99835,246.31579,217.51082,201.76001,183.82237,220.08929,267.16949,259.06316,259.08333,201.90973,240.40487,227.95029,221.22092,290.89149,280.71514,294.2149,205.29661,315.82732,309.0978,227.83506,296.97172,196.6865,206.73788,199.5823,237.57225,246.92817,212.86172,299.49624,262.83961,258.01524,269.88448,192.0541,138.8124,173.80352,192.38783,199.38272,245.30289,274.81483,226.20633,266.85809,184.36954,245.95865,366.97418,307.92421,208.43848,140.58381,208.0808,256.39154,241.72728,172.68294,292.99818
82,269.62141,240.94956,227.5862,297.85782,262.91458,203.59388,200.25908,210.92118,227.8469,347.46623,141.76707,284.2235,252.86532,396.91631,269.80273,276.4977,253.1424,230.20529,148.38444,252.30263,308.17652,247.04001,212.84694,236.01192,291.03819,276.67736,305,227.77778,318.38057,295.03105,302.61625,345.05816,353.91353,337.10743,221.96328,343.64508,325.01898,287.34772,369.78464,203.3135,210.76415,208.6884,255.98677,263.58252,210.28939,345.08817,306.22261,285.5725,296.45215,192.22316,136.74699,181.78001,196.39423,192.94533,267.51537,302.88068,240.01663,285.15177,227.77454,270.86464,356.27307,315.41773,212.06625,140.11299,209.34344,297.44341,235.18182,192.68293,329.89228
83,279.13202,254.89614,242.27885,304.86854,239.99999,203.77357,204.83593,218.99334,243.92344,353.37839,143.3735,295.64503,218.91117,416.7401,299.6965,304.79264,275.73587,231.81818,159.94202,268.42105,270.69463,229.92002,205.94767,250.89288,317.56877,295.67279,340.08336,244.70486,345.50608,325.3882,335.8527,257.55814,387.09091,372.06613,235.80507,365.14788,373.31313,353.60825,421.73615,207.47664,214.87264,216.62492,277.04375,280.4589,222.58842,375.14693,297.63364,311.5267,314.02642,193.49114,137.09122,189.75651,203.84616,194.62082,295.25898,330.20577,249.08487,305.41426,238.29169,294.92483,457.56454,389.23342,212.77602,134.55745,219.27609,335.57342,245.72728,192.09756,357.18132
84,290.48938,268.17507,250.97451,311.97661,245.02513,209.1644,206.30398,227.25546,255.78949,348.81759,155.28781,297.45276,265.3295,416.7401,312.51896,355.1152,308.59187,243.32845,167.14997,272.30263,379.88419,259.68003,234.81365,258.03574,341.52618,315.95594,364.33334,257.03126,365.42511,344.02174,351.84108,321.41472,413.29248,398.18183,241.80792,383.45325,373.08569,351.82756,427.45625,219.79608,219.55628,217.71095,294.54995,297.03921,220.4984,383.7112,303.59334,329.69465,338.0363,191.2088,133.39071,201.76322,204.72757,194.35627,307.72607,355.39096,258.40266,326.16899,257.00174,309.68045,442.43542,390.7838,214.90537,131.73258,224.83165,357.99856,260.18185,191.12196,379.89226
